//===== Fake Player mob_avail Append V4 =====================
//= Append this block to db/mob_avail.txt ONCE only.
//= Format: MobID,SpriteID,Sex,Hair,Hair_Color,Weapon,Shield,Head_Top,Head_Middle,Head_Bottom,Option,Dye_Color
// START FAKE PLAYER MOB AVAIL V4
2000,1,0,10,3,1122,2101,4,90,0,0,1
2001,1,0,9,8,1142,2105,16,12,0,0,3
2002,2,0,10,6,1610,2105,18,1,0,0,0
2003,2,0,8,3,1610,2105,18,57,0,0,3
2004,3,1,15,5,1723,0,1,2,0,0,3
2005,3,0,15,2,1701,0,4,12,0,0,0
2006,4,1,16,6,1501,0,24,18,54,0,1
2007,4,1,10,6,1501,2105,10,184,1,0,1
2011,5,0,1,0,1351,0,16,2,0,512,2
2012,5,1,14,0,1361,0,2,32,0,128,2
2025,5,0,2,3,1301,0,1,57,0,512,2
2028,6,1,18,2,1222,0,16,12,0,0,3
2029,6,1,14,3,1201,0,1,184,0,0,0
2030,13,1,9,5,1413,2113,102,1,0,32,2
2031,13,0,16,1,1413,0,1,90,12,32,3
2032,21,1,4,8,1401,2101,14,12,0,32,0
2033,21,0,7,4,1413,0,4,24,0,32,2
2034,8,1,16,7,1522,2105,102,15,1,0,3
2035,8,0,4,2,1516,2113,4,1,0,0,0
2036,9,0,9,7,1601,2105,24,5,0,0,1
2037,9,1,18,1,1610,2113,102,12,54,0,2
2038,10,1,3,2,1301,0,67,5,12,128,1
2039,10,0,14,7,1361,0,18,12,54,8,0
2040,10,1,10,1,1361,0,102,32,54,1024,1
2041,11,1,8,1,1701,0,18,57,5,16,3
2042,11,0,19,0,1723,0,36,24,0,16,3
2043,12,1,12,8,1254,0,67,90,12,0,2
2044,12,1,18,1,1254,0,36,90,5,0,2
2045,15,1,1,2,1516,2105,14,5,12,0,0
2046,15,1,4,5,1522,2113,14,32,0,0,0
2047,16,0,15,1,1550,0,24,12,1,0,2
2048,16,1,6,7,1560,2105,14,8,0,0,2
2049,17,1,20,8,1222,0,14,184,0,0,3
2050,17,1,15,6,1222,0,18,12,0,0,0
2051,18,0,17,7,1351,0,36,32,0,128,1
2052,18,0,9,8,1351,0,2,12,0,8,0
2053,18,1,6,1,1351,0,28,12,0,1024,0
2054,19,1,20,2,1901,0,28,18,12,0,2
2055,19,1,19,1,1905,0,18,1,5,0,1
2056,19,1,7,7,1905,0,24,32,54,0,3
2058,20,0,12,0,1950,0,4,8,54,0,1
2059,20,0,19,0,1950,0,7,24,5,0,0
2060,20,0,16,7,1950,0,36,1,0,0,2
2061,4014,0,6,4,1451,2105,2,2,12,32,3
2062,4014,1,16,7,1401,2101,1,57,0,32,1
2063,4014,1,9,0,1451,2105,10,57,0,32,1
2064,4009,1,18,6,1522,0,36,57,0,0,2
2065,4009,1,12,6,1522,2101,67,1,0,0,1
2066,4009,1,9,3,1516,0,18,32,0,0,3
2067,4010,1,5,7,1604,2101,2,184,54,0,1
2075,4010,1,14,3,1604,0,10,8,0,0,1
2076,4010,1,16,2,1601,0,18,5,5,0,3
2077,4011,0,9,3,1301,0,36,3,12,256,3
2078,4011,1,2,8,1301,0,1,15,0,256,3
2079,4011,0,9,5,1351,0,1,12,5,1024,3
2080,4012,1,20,3,1720,0,4,15,0,16,3
2083,4012,0,14,3,1720,0,102,12,0,16,2
2084,4013,1,8,7,1251,0,7,24,0,0,3
2085,4013,0,5,5,1251,0,18,57,0,0,1
2086,4013,1,20,5,1261,0,80,8,12,0,3
2087,4022,1,15,2,1407,0,2,5,0,32,3
2088,4022,0,5,3,1401,0,16,90,1,32,2
2089,4022,1,17,7,1407,0,67,32,0,32,3
2090,4016,0,10,7,1522,2101,50,15,54,0,0
2091,4016,0,11,1,1516,2113,10,90,54,0,2
2092,4016,1,8,6,1522,2105,36,8,1,0,3
2093,4017,0,2,7,1550,2113,67,24,1,0,1
2094,4017,1,13,6,1560,2101,1,5,0,0,0
2095,4017,1,8,2,1560,2101,24,24,0,0,1
2096,4018,0,8,2,1219,0,102,15,0,0,1
2097,4018,0,2,0,1231,0,36,184,12,0,3
2098,4019,0,11,1,1361,0,102,24,54,8,3
2099,4019,0,16,0,1351,0,10,18,0,256,0
2100,4019,0,9,6,1361,0,50,8,12,256,2
2101,4020,1,12,6,1905,0,10,57,12,0,0
2102,4020,1,13,5,1905,0,36,5,0,0,0
2103,4020,1,7,8,1905,0,1,1,5,0,2
2104,4021,0,7,2,1950,0,18,57,5,0,2
2105,4021,0,19,8,1950,0,67,90,0,0,2
2106,4021,0,12,1,1950,0,36,184,12,0,0
2107,18,1,17,4,1301,0,10,3,12,1024,1
2108,18,1,18,6,1361,0,2,1,12,128,1
2109,4011,0,10,6,1351,0,2,5,5,8,2
2110,4011,1,8,2,1351,0,102,12,0,512,0
2111,10,0,20,8,1351,0,16,18,0,1024,1
2112,5,0,8,3,1351,0,102,2,5,512,0
2113,4019,1,4,1,1351,0,4,3,5,256,2
2114,4019,0,12,2,1351,0,7,5,54,128,2
2115,10,1,13,3,1301,0,14,57,54,128,3
2116,18,0,17,5,1351,0,7,184,0,1024,1
2117,4011,0,19,4,1361,0,14,57,0,128,2
2118,18,0,18,3,1351,0,102,24,1,128,3
2119,10,0,11,6,1361,0,2,3,0,1024,3
2120,4011,1,1,6,1301,0,36,15,12,128,1
2121,5,1,3,0,1351,0,10,12,0,1024,0
2122,18,0,16,1,1361,0,16,2,1,256,0
2123,4019,1,6,8,1301,0,102,18,0,1024,0
2124,4019,1,16,0,1351,0,28,184,0,8,3
2125,4019,1,8,7,1301,0,2,2,0,8,3
2126,10,1,19,3,1301,0,18,2,1,128,0
2127,5,0,20,6,1301,0,102,18,0,512,1
2128,4011,0,16,1,1301,0,1,15,54,1024,2
2129,4011,1,13,4,1361,0,18,24,0,256,3
2130,4011,0,5,6,1361,0,16,18,0,256,3
2131,4011,0,13,2,1351,0,24,90,12,256,1
2132,10,1,18,2,1301,0,18,18,12,128,1
2133,10,0,4,6,1361,0,24,5,0,128,0
2134,5,1,5,0,1361,0,16,1,0,256,0
2135,4011,0,1,6,1351,0,2,8,12,512,0
2136,4011,1,5,1,1361,0,16,32,1,512,3
2137,10,0,7,3,1301,0,24,5,1,512,2
2138,4019,0,7,1,1361,0,102,8,5,256,1
2139,10,0,9,3,1361,0,16,12,12,1024,3
2140,10,0,19,4,1361,0,4,57,1,8,0
2141,4011,0,4,8,1301,0,102,18,0,512,1
// END FAKE PLAYER MOB AVAIL V4
