// for mobs
// mob_id,sprite_id,equip #
// Use another mob's sprite for a monster.  0 for sprite will disable mob.
// Mob must have an equipment it's pet counterpart can use or it will cause problems.  If no equip use 0.
// The following if a player sprite is used
// MobID,SpriteID,Sex,Hair,Hair_Color,Weapon,Shield,Head_Top,Head_Middle,Head_Bottom,Option,Dye_Color
// Use Item ID for weapons and shields, not View ID.

//1002,1039	//Poring,Baphomet (Make Porings look like Baphomet)
//1970,1002,10013	// new mob that looks like a Poring with a backpack

// Easter Event Monsters
//1920,1047,0
//1921,1093,0

// eAthena Dev Team
// Valaris
//1900,4013,1,1,1,1254,0,67,12,54,16,1
// Valaris Worshiper
//1901,6,1,1,1,1219,2101,67,12,54,0,1
// MC Cameri
//1902,14,1,6,6,1101,2105,0,0,0,32,3
// Poki#3
//1903,4012,1,21,0,1720,0,102,184,57,16,0
// Sentry
//1904,1286,0

// iRO Halloween Event 2008
//3000,1015,0
//3001,1036,0
//3002,1298,0

// iRO Halloween Event 2009
//3014,1179,0
//3015,1272,0
//===== Fake Player mob_avail Append ==========================
//= Append this block to db/mob_avail.txt
//= Format: MobID,SpriteID,Sex,Hair,Hair_Color,Weapon,Shield,Head_Top,Head_Middle,Head_Bottom,Option,Dye_Color
//============================================================
// START FAKE PLAYER MOB AVAIL
2500,0,1,9,7,0,0,0,0,0,0,3
2501,1,0,3,2,1401,2101,0,0,0,0,2
2502,2,0,16,0,1604,0,0,0,0,0,2
2503,3,0,3,6,1701,0,0,0,0,0,3
2504,4,1,5,2,1801,2101,0,0,0,0,0
2505,5,0,19,2,1301,0,0,0,0,0,1
2506,6,0,8,4,1251,0,0,0,0,0,1
2507,7,0,5,0,1101,0,0,0,0,0,1
2508,8,1,18,8,1801,2101,0,0,0,0,2
2509,9,0,13,5,0,0,0,0,0,0,0
2510,10,0,10,6,1301,0,0,0,0,0,2
2511,11,0,3,0,0,0,0,0,0,0,0
2512,12,0,7,4,1201,0,0,0,0,0,3
2513,13,1,17,4,1162,2101,0,0,0,0,3
2514,14,0,3,1,0,0,0,0,0,0,3
2515,15,0,15,2,1501,2101,0,0,0,0,0
2516,16,0,20,1,1601,0,0,0,0,0,2
2517,17,1,14,2,1254,0,0,0,0,0,0
2518,18,1,5,7,1301,2101,0,0,0,0,3
2519,19,1,13,3,1901,0,0,0,0,0,2
2520,20,0,15,8,1901,0,0,0,0,0,1
2521,21,0,3,0,1401,2101,0,0,0,0,0
2522,22,0,8,7,0,0,0,0,0,0,2
2523,23,1,11,5,0,0,0,0,0,0,3
2524,24,0,6,4,0,0,0,0,0,0,0
